distance,event_type,orientation,length,width,depth,joint_number,comments,year,distance_raw,distance_aligned
792.402,metal loss,140.5,22.9,4.2,14.0,370,,2022,792.402,788.6309275653392
795.64,metal loss,149.0,13.5,4.1,13.0,370,,2022,795.64,791.87055336804
797.054,metal loss,147.0,10.4,5.0,10.0,370,,2022,797.054,793.2852633387066
802.421,metal loss,143.5,14.0,1.1,12.0,370,,2022,802.421,798.6549581142148
807.822,metal loss,144.0,7.0,1.8,16.0,370,,2022,807.822,804.0586699611532
814.35,metal loss,145.5,10.2,1.3,12.0,370,,2022,814.35,810.5899476758013
824.36,metal loss,151.0,20.0,1.6,10.0,370,,2022,824.36,820.6049737057689
932.083,metal loss,183.5,8.2,2.4,11.0,400,,2022,932.083,928.1626094439871
958.524,metal loss,61.0,4.8,3.8,23.0,410,,2022,958.524,953.9963344769808
959.997,metal loss,100.0,15.0,7.2,28.0,420,,2022,959.997,955.4352291041505
1191.788,metal loss,130.0,6.1,2.9,13.0,480,,2022,1191.788,1187.208444455485
1193.35,metal loss,133.5,3.3,0.9,14.0,480,,2022,1193.35,1188.7663314785373
1194.163,metal loss,135.5,2.3,1.9,11.0,480,,2022,1194.163,1189.5771907293324
1195.889,metal loss,134.5,0.7,2.2,13.0,480,,2022,1195.889,1191.2986459161366
1196.178,metal loss,132.0,0.6,0.7,14.0,480,,2022,1196.178,1191.5868849364072
1196.414,metal loss,134.0,0.7,1.0,11.0,480,,2022,1196.414,1191.8222635135135
1197.336,metal loss,128.5,0.6,0.2,11.0,480,,2022,1197.336,1192.7418357511924
1197.887,metal loss,129.5,10.4,3.1,12.0,480,,2022,1197.887,1193.291384886725
1200.469,metal loss,175.5,8.3,1.7,11.0,480,,2022,1200.469,1195.8665860989668
1200.607,metal loss,129.0,2.6,1.6,12.0,480,,2022,1200.607,1196.0042227245629
1201.335,metal loss,177.0,1.2,2.6,11.0,480,,2022,1201.335,1196.7303057929255
1202.021,metal loss,177.5,4.3,2.2,18.0,480,,2022,1202.021,1197.4144994534977
1204.603,metal loss,171.5,0.5,0.7,13.0,490,,2022,1204.603,1199.9955342205799
1207.49,metal loss,174.0,0.6,0.9,12.0,490,,2022,1207.49,1202.8883732427778
1207.726,metal loss,178.0,4.2,3.9,18.0,490,,2022,1207.726,1203.1248505580666
1208.248,metal loss,179.5,1.0,3.1,14.0,490,,2022,1208.248,1203.6479063147644
1208.707,metal loss,180.5,9.0,3.3,14.0,490,,2022,1208.707,1204.1078346525508
1209.767,metal loss,177.5,0.4,1.5,18.0,490,,2022,1209.767,1205.1699785263054
1210.246,metal loss,183.5,0.5,0.5,12.0,490,,2022,1210.246,1205.6499473145398
1210.951,metal loss,183.5,5.8,0.9,13.0,490,,2022,1210.951,1206.3563731928389
1212.149,metal loss,176.5,5.1,2.0,18.0,490,,2022,1212.149,1207.556796174686
1212.887,metal loss,176.0,5.6,2.9,14.0,490,,2022,1212.887,1208.2962887962246
1213.57,metal loss,180.0,9.6,4.3,13.0,490,,2022,1213.57,1208.9806701790308
1214.626,metal loss,181.5,5.0,3.0,10.0,490,,2022,1214.626,1210.0388059626957
1217.598,metal loss,177.0,5.0,1.8,11.0,490,,2022,1217.598,1213.0168168992984
1218.251,metal loss,182.5,1.3,1.4,15.0,490,,2022,1218.251,1213.6711376064322
1218.773,metal loss,175.0,3.4,2.5,16.0,490,,2022,1218.773,1214.1941933631301
1219.623,metal loss,180.0,8.9,3.5,15.0,490,,2022,1219.623,1215.0459125071789
1220.551,metal loss,173.0,0.7,0.2,12.0,490,,2022,1220.551,1215.9757894079753
1221.821,metal loss,176.5,0.7,0.5,11.0,490,,2022,1221.821,1217.248358011436
1222.119,metal loss,179.0,4.3,1.5,14.0,490,,2022,1222.119,1217.5469607231141
1223.14,metal loss,182.0,6.5,3.0,13.0,490,,2022,1223.14,1218.570025718495
1224.596,metal loss,188.0,0.4,0.5,14.0,490,,2022,1224.596,1220.0289705111238
1225.246,metal loss,181.5,2.9,3.6,11.0,490,,2022,1225.246,1220.6802851506905
1225.925,metal loss,183.5,0.4,2.8,19.0,490,,2022,1225.925,1221.360658443407
1227.602,metal loss,185.0,2.2,2.8,11.0,490,,2022,1227.602,1223.0410502134887
1228.986,metal loss,178.5,3.5,3.5,11.0,490,,2022,1228.986,1224.427849384504
1241.355,metal loss,192.0,1.9,1.3,12.0,490,,2022,1241.355,1236.8218659641939
1242.343,metal loss,193.5,7.4,3.0,15.0,490,,2022,1242.343,1237.8118642163352
1459.432,metal loss,43.0,7.2,2.3,13.0,550,,2022,1459.432,1454.793950737227
1463.136,metal loss,30.0,6.5,2.2,18.0,550,,2022,1463.136,1458.5100165733227
1471.148,metal loss,35.5,6.0,1.4,15.0,550,,2022,1471.148,1466.548115784661
1678.927,metal loss,202.5,2.2,1.7,18.0,600,,2022,1678.927,1673.7380824680658
1679.626,metal loss,240.50000000000003,3.3,3.2,18.0,600,,2022,1679.626,1674.4348024202584
1680.213,metal loss,233.0,10.3,5.3,29.0,610,,2022,1680.213,1675.0196069151057
1680.709,metal loss,375.5,2.3,3.1,22.0,610,,2022,1680.709,1675.5135806098046
1680.778,metal loss,285.0,1.7,1.5,30.0,610,,2022,1680.778,1675.5822987245915
1680.892,metal loss,199.5,3.4,2.6,22.0,610,,2022,1680.892,1675.6958330011958
1681.184,metal loss,145.0,1.4,1.3,22.0,610,,2022,1681.184,1675.9866400956555
2103.645,metal loss,349.5,1.2,2.1,25.0,710,,2022,2103.645,2097.5475434125374
2104.938,metal loss,351.0,1.2,1.2,19.0,710,,2022,2104.938,2098.843031007171
2105.118,metal loss,377.0,3.0,1.1,19.0,710,,2022,2105.118,2099.0233773080477
2105.367,metal loss,352.0,1.0,1.3,13.0,710,,2022,2105.367,2099.2728563575943
2106.148,metal loss,350.5,1.0,1.1,23.0,710,,2022,2106.148,2100.0553589186216
2111.266,metal loss,358.5,2.0,0.8,19.0,720,,2022,2111.266,2105.1443988182427
2113.625,metal loss,358.5,1.6,0.5,26.0,720,,2022,2113.625,2107.486473100126
2116.434,metal loss,361.5,4.2,1.3,11.0,720,,2022,2116.434,2110.2753186523996
2118.222,metal loss,361.0,2.0,1.1,19.0,720,,2022,2118.222,2112.050489833412
2118.927,metal loss,357.0,1.3,2.4,19.0,720,,2022,2118.927,2112.7504314903545
2120.712,metal loss,358.5,1.3,1.8,21.0,720,,2022,2120.712,2114.522624196231
2130.22,metal loss,356.5,2.3,1.5,13.0,720,,2022,2130.22,2123.9624047270286
2130.256,metal loss,389.0,8.1,2.4,23.0,720,,2022,2130.256,2123.9981464286598
2130.869,metal loss,353.5,4.4,2.6,21.0,720,,2022,2130.869,2124.6067481814343
2131.486,metal loss,353.5,3.3,2.6,30.0,720,,2022,2131.486,2125.21932123439
2132.188,metal loss,358.0,0.6,1.1,28.0,720,,2022,2132.188,2125.916284416197
2133.848,metal loss,353.5,0.5,0.7,35.0,720,,2022,2133.848,2127.56437399141
2141.998,metal loss,355.5,1.2,0.9,17.0,720,,2022,2141.998,2135.6558981106778
2142.503,metal loss,354.0,4.6,1.5,18.0,720,,2022,2142.503,2136.157274758559
2143.245,metal loss,356.0,0.7,0.8,42.0,720,,2022,2143.245,2136.893950942178
2144.606,metal loss,342.0,4.8,4.7,25.0,720,,2022,2144.606,2138.245185828844
2150.925,metal loss,344.5,5.3,1.7,11.0,730,,2022,2150.925,2144.5444537416324
2153.222,metal loss,356.0,0.9,0.9,28.0,730,,2022,2153.222,2146.841109501449
2155.052,metal loss,161.5,1.0,0.8,23.0,730,,2022,2155.052,2148.6708352482765
2155.978,metal loss,346.5,0.9,1.2,14.0,730,,2022,2155.978,2149.5966964731742
2156.253,metal loss,347.0,8.5,2.9,14.0,730,,2022,2156.253,2149.871655260266
2159.675,metal loss,359.5,1.9,1.5,15.0,730,,2022,2159.675,2153.2931424218204
2159.98,metal loss,344.0,1.3,0.9,16.0,730,,2022,2159.98,2153.598096712958
2162.293,metal loss,344.5,0.7,0.9,27.0,730,,2022,2162.293,2155.910750074933
2165.869,metal loss,354.5,7.7,4.6,42.0,730,,2022,2165.869,2159.4862141572585
2174.606,metal loss,306.0,2.1,1.0,14.0,730,,2022,2174.606,2168.221904785693
2175.748,metal loss,359.0,2.5,1.4,14.0,730,,2022,2175.748,2169.363733639724
2180.295,metal loss,340.0,5.0,0.8,19.0,730,,2022,2180.295,2173.9100522030176
2183.586,metal loss,351.0,1.7,1.6,20.0,730,,2022,2183.586,2177.2005589969026
2188.773,metal loss,139.5,1.1,0.7,32.0,740,,2022,2188.773,2182.3806268018693
2195.65,metal loss,352.0,0.7,0.3,26.0,740,,2022,2195.65,2189.227545481658
2198.681,metal loss,346.0,0.9,1.1,24.0,740,,2022,2198.681,2192.245287304901
2210.804,metal loss,174.5,1.0,1.1,18.0,740,,2022,2210.804,2204.315258972065
2213.691,metal loss,355.0,3.9,0.9,11.0,740,,2022,2213.691,2207.1896306789936
2215.751,metal loss,174.5,0.9,1.1,22.0,740,,2022,2215.751,2209.2406198429267
2222.26,metal loss,179.0,5.3,1.2,21.0,740,,2022,2222.26,2215.7211482254697
2222.917,metal loss,179.0,0.9,0.5,14.0,740,,2022,2222.917,2216.375274381151
2223.812,metal loss,179.0,1.1,0.8,24.0,740,,2022,2223.812,2217.266359479073
2224.337,metal loss,179.0,0.6,0.9,18.0,740,,2022,2224.337,2217.7890630281336
2228.32,metal loss,169.5,3.2,5.2,14.0,750,,2022,2228.32,2221.7573643819123
2228.402,metal loss,346.5,22.3,6.9,18.0,750,,2022,2228.402,2221.8392965164394
2233.734,metal loss,177.0,1.1,1.1,24.0,750,,2022,2233.734,2227.166883605447
2235.787,metal loss,178.5,1.4,1.1,26.0,750,,2022,2235.787,2229.218184485742
2240.085,metal loss,179.0,0.7,0.7,41.0,750,,2022,2240.085,2233.51262734181
2240.354,metal loss,134.5,3.2,1.3,32.0,750,,2022,2240.354,2233.7814047099537
2241.824,metal loss,179.0,0.9,0.8,30.0,750,,2022,2241.824,2235.2501880972086
2242.293,metal loss,178.5,1.2,1.0,32.0,750,,2022,2242.293,2235.718799939809
2243.248,metal loss,139.5,0.8,0.7,37.0,750,,2022,2243.248,2236.673009555338
2246.115,metal loss,142.5,1.3,0.7,52.0,750,,2022,2246.115,2239.53763674667
2255.696,metal loss,182.5,15.6,2.2,22.0,750,,2022,2255.696,2249.1107072455043
2260.151,metal loss,180.5,1.5,0.6,22.0,750,,2022,2260.151,2253.5620201640204
2261.995,metal loss,197.5,1.0,0.9,26.0,750,,2022,2261.995,2255.4044940185086
2264.826,metal loss,144.0,10.9,2.2,24.0,750,,2022,2264.826,2258.2331510044387
2270.394,metal loss,156.0,7.6,1.7,16.0,760,,2022,2270.394,2263.7790402123487
2271.26,metal loss,158.5,1.2,1.0,27.0,760,,2022,2271.26,2264.639218327504
2271.526,metal loss,137.0,5.2,1.0,19.0,760,,2022,2271.526,2264.903430081119
2271.939,metal loss,158.0,1.0,0.7,29.0,760,,2022,2271.939,2265.3136535933118
2272.552,metal loss,146.0,1.5,0.8,19.0,760,,2022,2272.552,2265.922532559351
2276.969,metal loss,148.0,5.4,1.5,11.0,760,,2022,2276.969,2270.3098382575477
2278.127,metal loss,184.0,1.3,0.9,34.0,760,,2022,2278.127,2271.4600533353178
2279.085,metal loss,146.5,2.2,1.0,19.0,760,,2022,2279.085,2272.4116129592417
2281.194,metal loss,187.5,2.2,1.2,20.0,760,,2022,2281.194,2274.5064347200514
2284.577,metal loss,147.0,1.7,1.1,16.0,760,,2022,2284.577,2277.8666917218625
2286.739,metal loss,148.5,1.7,1.1,21.0,760,,2022,2286.739,2280.0141571779413
2295.108,metal loss,148.5,6.3,0.9,12.0,760,,2022,2295.108,2288.3268946441417
2296.847,metal loss,150.5,4.7,2.3,14.0,760,,2022,2296.847,2290.0542038153358
2297.976,metal loss,151.5,1.9,0.6,29.0,760,,2022,2297.976,2291.1756138522983
2302.69,metal loss,167.5,1.0,1.2,13.0,760,,2022,2302.69,2295.8579228994568
2303.32,metal loss,160.5,0.9,0.7,21.0,760,,2022,2303.32,2296.483687579073
2304.518,metal loss,167.0,4.3,0.9,16.0,760,,2022,2304.518,2297.6736337476123
2305.328,metal loss,167.0,2.1,0.9,19.0,760,,2022,2305.328,2298.47818833569
2312.041,metal loss,163.0,2.3,0.9,20.0,770,,2022,2312.041,2305.211737781226
2316.404,metal loss,154.0,1.0,0.9,35.0,770,,2022,2316.404,2309.611970519783
2317.051,metal loss,160.5,5.4,3.8,28.0,770,,2022,2317.051,2310.2644918541505
2381.581,metal loss,204.0,2.9,0.9,11.0,800,,2022,2381.581,2374.0306664421337
2382.211,metal loss,204.5,2.4,1.7,13.0,800,,2022,2382.211,2374.665626236686
2384.488,metal loss,211.5,13.9,2.5,12.0,800,,2022,2384.488,2376.960552351282
2384.692,metal loss,126.5,5.2,1.0,13.0,800,,2022,2384.692,2377.166158379994
2386.447,metal loss,213.5,3.5,0.4,10.0,800,,2022,2386.447,2378.9349749505327
2389.984,metal loss,116.5,14.4,1.1,11.0,800,,2022,2389.984,2382.499820654233
2392.887,metal loss,112.0,1.1,0.5,11.0,800,,2022,2392.887,2385.4256750726227
2395.131,metal loss,109.5,1.1,0.5,11.0,800,,2022,2395.131,2387.6873413884564
3163.169,metal loss manufacturing anomaly,184.5,0.4,0.6,26.0,1010,,2022,3163.169,3153.6114985211143
3163.461,metal loss manufacturing anomaly,179.0,0.7,1.1,20.0,1010,,2022,3163.461,3153.9023155121417
3357.569,metal loss,223.5,6.8,5.0,22.0,1050,,2022,3357.569,3347.404742592409
3357.828,metal loss,120.0,2.1,1.4,30.0,1050,,2022,3357.828,3347.661856109404
3415.236,metal loss,177.5,3.3,3.1,22.0,1070,,2022,3415.236,3405.0203064648426
3416.762,metal loss,170.0,2.7,3.7,26.0,1070,,2022,3416.762,3406.5412618994364
3419.108,metal loss,148.0,6.3,2.7,20.0,1070,,2022,3419.108,3408.8795066239163
3438.005,metal loss,262.0,1.7,2.4,18.0,1070,,2022,3438.005,3427.714037978774
3438.041,metal loss,222.0,3.8,5.2,19.0,1070,,2022,3438.041,3427.7499189719883
3438.225,metal loss,90.5,1.5,1.9,22.0,1070,,2022,3438.225,3427.9333107150846
3438.264,metal loss,138.0,3.4,1.5,18.0,1070,,2022,3438.264,3427.972181791067
3438.343,metal loss,159.0,15.4,13.6,19.0,1070,,2022,3438.343,3428.0509206372876
3438.701,metal loss,91.0,6.3,4.5,23.0,1070,,2022,3438.701,3428.4077371809212
3438.747,metal loss,359.5,2.8,3.8,17.0,1070,,2022,3438.747,3428.453585116695
3493.471,metal loss,381.0,8.9,1.8,13.0,1090,,2022,3493.471,3483.182235229787
3503.865,metal loss,366.5,4.8,1.2,13.0,1090,,2022,3503.865,3493.539291874829
3927.133,metal loss,308.0,6.0,3.1,12.0,1200,,2022,3927.133,3915.5528585704647
3934.744,metal loss,314.0,4.6,2.2,13.0,1200,,2022,3934.744,3923.162527543908
4092.566,metal loss,360.5,0.7,1.0,22.0,1240,,2022,4092.566,4080.335212267499
4093.015,metal loss,361.0,0.7,1.2,25.0,1240,,2022,4093.015,4080.782267854607
4544.777,metal loss,194.5,5.4,8.7,22.0,1350,,2022,4544.777,4530.728671502385
4544.888,metal loss,62.50000000000001,2.2,2.3,25.0,1350,,2022,4544.888,4530.83902076709
4544.934,metal loss,242.50000000000003,1.6,1.7,22.0,1350,,2022,4544.934,4530.8847510930045
4544.97,metal loss,103.5,3.3,4.5,22.0,1350,,2022,4544.97,4530.92054004372
4546.637,metal loss,227.5,4.3,2.3,11.0,1360,,2022,4546.637,4532.581891824401
4546.729,metal loss,106.5,2.6,1.9,30.0,1360,,2022,4546.729,4532.673878040254
4568.373,metal loss,195.0,3.6,2.8,16.0,1360,,2022,4568.373,4554.314635169554
4622.789,metal loss,170.0,4.2,5.4,36.0,1370,,2022,4622.789,4608.532018699954
4625.108,metal loss,163.0,3.9,5.2,12.0,1370,,2022,4625.108,4610.838678072313
4625.144,metal loss,194.0,2.8,2.4,20.0,1370,,2022,4625.144,4610.87448649724
4917.359,metal loss,237.0,9.1,2.0,16.0,1450,,2022,4917.359,4902.4321734186215
4919.993,metal loss,238.5,9.1,2.7,14.0,1450,,2022,4919.993,4905.05119687278
4921.519,metal loss,233.0,11.1,3.0,14.0,1450,,2022,4921.519,4906.568520255863
4933.458,metal loss,247.0,13.7,3.1,13.0,1450,,2022,4933.458,4918.43963681592
4985.935,metal loss,320.5,6.3,1.4,16.0,1470,,2022,4985.935,4970.849447092469
4989.685,metal loss,319.0,6.6,1.7,14.0,1470,,2022,4989.685,4974.5992589433545
4999.331,metal loss,326.0,6.5,1.3,12.0,1470,,2022,4999.331,4984.244774973659
5050.472,metal loss,149.0,1.3,1.8,19.0,1480,,2022,5050.472,5035.233172646962
5051.119,metal loss,147.5,2.2,2.4,12.0,1480,,2022,5051.119,5035.8774206565595
5310.472,metal loss,188.0,2.9,2.3,33.0,1550,,2022,5310.472,5295.020921700448
5311.135,metal loss,199.0,3.3,2.2,20.0,1550,,2022,5311.135,5295.684534776198
5312.018,metal loss,169.5,4.4,1.4,21.0,1550,,2022,5312.018,5296.568351285832
5315.315,metal loss,165.5,1.5,0.9,13.0,1550,,2022,5315.315,5299.868400019994
5315.866,metal loss,164.0,1.3,1.2,16.0,1550,,2022,5315.866,5300.419909529403
5316.194,metal loss,162.5,2.1,1.1,13.0,1550,,2022,5316.194,5300.74821283083
5322.31,metal loss,162.5,8.3,3.0,11.0,1560,,2022,5322.31,5306.865292408553
5324.547,metal loss,167.0,3.2,1.5,25.0,1560,,2022,5324.547,5309.0934597332935
5325.151,metal loss,164.0,1.0,3.1,17.0,1560,,2022,5325.151,5309.695074871489
5325.469,metal loss,167.0,6.9,2.8,37.0,1560,,2022,5325.469,5310.01181926544
5326.345,metal loss,164.0,2.3,2.3,43.0,1560,,2022,5326.345,5310.884360426135
5326.808,metal loss,163.5,14.4,3.9,34.0,1560,,2022,5326.808,5311.345532295314
5327.192,metal loss,194.5,2.2,2.0,23.0,1560,,2022,5327.192,5311.728016091783
5327.736,metal loss,193.0,5.6,2.0,22.0,1560,,2022,5327.736,5312.26986813678
5328.504,metal loss,203.0,6.2,2.3,10.0,1560,,2022,5328.504,5313.034835729718
5329.268,metal loss,155.0,6.8,3.5,16.0,1560,,2022,5329.268,5313.795819116442
5330.581,metal loss,187.5,22.0,3.9,27.0,1560,,2022,5330.581,5315.103634805931
5331.257,metal loss,164.5,2.5,1.8,20.0,1560,,2022,5331.257,5315.776965655963
5331.657,metal loss,163.0,3.5,2.2,27.0,1560,,2022,5331.657,5316.175386277286
5332.674,metal loss,192.0,2.4,1.9,17.0,1560,,2022,5332.674,5317.188370706996
5333.018,metal loss,162.0,0.9,1.1,23.0,1560,,2022,5333.018,5317.531012441332
5333.35,metal loss,197.0,13.9,4.4,35.0,1560,,2022,5333.35,5317.861701557029
5333.757,metal loss,159.0,2.2,1.0,19.0,1560,,2022,5333.757,5318.267094539224
5334.134,metal loss,160.0,11.3,2.7,35.0,1560,,2022,5334.134,5318.642605974819
5334.993,metal loss,202.5,1.9,1.6,28.0,1560,,2022,5334.993,5319.498214259108
5335.322,metal loss,201.5,2.9,2.1,34.0,1560,,2022,5335.322,5319.825915220144
5337.106,metal loss,210.5,2.3,2.0,18.0,1560,,2022,5337.106,5321.602871191239
5340.784,metal loss,152.0,2.2,1.6,16.0,1560,,2022,5340.784,5325.266348804291
5341.234,metal loss,154.5,2.5,2.0,24.0,1560,,2022,5341.234,5325.714572003279
5341.736,metal loss,156.5,3.1,3.0,26.0,1560,,2022,5341.736,5326.214589883037
5342.349,metal loss,168.5,4.3,2.4,20.0,1560,,2022,5342.349,5326.825169485212
5342.562,metal loss,201.0,1.8,1.9,18.0,1560,,2022,5342.562,5327.037328466065
5345.22,dent,157.5,,,,1560,,2022,5345.22,5329.684833494748
5359.567,metal loss,162.0,1.1,1.3,25.0,1560,,2022,5359.567,5343.975185130001
5359.918,metal loss,167.0,6.8,3.8,15.0,1560,,2022,5359.918,5344.32479922521
5360.472,metal loss,133.0,4.2,0.9,11.0,1560,,2022,5360.472,5344.87661178574
5360.548,metal loss,31.000000000000004,2.2,2.1,25.0,1560,,2022,5360.548,5344.952311703792
5362.575,metal loss,383.5,1.6,1.7,18.0,1570,,2022,5362.575,5346.9771234620275
5362.598,metal loss,124.5,1.3,1.0,13.0,1570,,2022,5362.598,5347.000175696922
5362.717,metal loss,72.5,1.6,1.2,21.0,1570,,2022,5362.717,5347.1194459557255
5364.567,metal loss,166.5,25.0,8.4,25.0,1570,,2022,5364.567,5348.973647458134
5364.629,metal loss,210.0,2.6,4.0,16.0,1570,,2022,5364.629,5349.035788265242
5367.966,metal loss,204.5,1.6,1.6,18.0,1570,,2022,5367.966,5352.380366867154
5378.737,metal loss,168.0,1.9,2.2,24.0,1570,,2022,5378.737,5363.1758286955
5379.262,metal loss,207.5,2.4,2.1,19.0,1570,,2022,5379.262,5363.702021013751
5379.751,metal loss,217.0,20.2,10.0,47.0,1570,,2022,5379.751,5364.192131573037
5380.43,metal loss,132.5,29.8,6.4,49.0,1570,,2022,5380.43,5364.872673637975
5381.122,metal loss,176.0,24.2,7.4,25.0,1570,,2022,5381.122,5365.5662452269835
5382.894,metal loss,223.0,0.8,0.3,15.0,1570,,2022,5382.894,5367.342269584966
5383.077,metal loss,203.0,12.1,6.7,17.0,1570,,2022,5383.077,5367.525685193042
5383.14,metal loss,126.5,4.0,2.8,28.0,1570,,2022,5383.14,5367.588828271232
5383.763,metal loss,196.0,30.2,16.8,49.0,1570,,2022,5383.763,5368.2132431555565
5383.98,metal loss,133.5,2.0,1.6,19.0,1570,,2022,5383.98,5368.430735980433
5440.758,metal loss,190.0,1.5,1.3,41.0,1580,,2022,5440.758,5425.100502572514
5441.122,metal loss,181.5,1.3,2.6,14.0,1580,,2022,5441.122,5425.463118335695
5442.562,metal loss,129.5,2.1,2.5,16.0,1590,,2022,5442.562,5426.899270174827
5442.723,metal loss,87.5,2.7,1.7,21.0,1590,,2022,5442.723,5427.060080655709
5465.387,metal loss,231.0,5.9,3.8,21.0,1600,,2022,5465.387,5449.698773365943
5470.443,metal loss,383.5,7.2,2.5,12.0,1600,,2022,5470.443,5454.762470488407
5475.512,metal loss,366.5,5.0,2.2,13.0,1600,,2022,5475.512,5459.839187401732
5624.626,metal loss,223.0,1.6,2.0,20.0,1650,,2022,5624.626,5608.607005473221
5748.593,metal loss,259.0,7.8,2.4,13.0,1680,,2022,5748.593,5732.402123377845
5751.667,metal loss,256.5,3.3,2.0,12.0,1680,,2022,5751.667,5735.460513447433
